x,y,z
127.87528228759766,-12.932236671447754,0.0
107.46907806396484,-10.898618698120117,0.0
90.88897705078125,1.147080898284912,0.0
82.63703918457031,20.100135803222656,0.0
82.38813018798828,40.24863815307617,0.0
75.30655670166016,59.17829895019531,0.0
58.005287170410156,70.5302734375,0.0
37.91322326660156,70.84591674804688,0.0
17.971033096313477,69.31072235107422,0.0
-2.400083065032959,67.74251556396484,0.0
-23.14573860168457,66.14546966552734,0.0
-43.71971893310547,64.56163787841797,0.0
-63.30416488647461,59.35849380493164,0.0
-78.36392211914062,46.07057189941406,0.0
-85.8976821899414,27.3006591796875,0.0
-87.4243392944336,7.285222053527832,0.0
-88.76071166992188,-13.268289566040039,0.0
-89.35504913330078,-33.349544525146484,0.0
-89.21978759765625,-53.72453308105469,0.0
-85.9675064086914,-74.17552185058594,0.0
-74.07784271240234,-90.74661254882812,0.0
-55.977203369140625,-100.07308959960938,0.0
-35.834224700927734,-101.0445785522461,0.0
-15.601133346557617,-100.4436264038086,0.0
5.18712854385376,-99.8261947631836,0.0
26.223154067993164,-99.2013931274414,0.0
47.231571197509766,-98.5774154663086,0.0
68.10322570800781,-97.9574966430664,0.0
88.25726318359375,-97.3589096069336,0.0
108.47022247314453,-96.75855255126953,0.0
128.6003875732422,-95.9504165649414,0.0
148.68853759765625,-92.31376647949219,0.0
167.84832763671875,-84.96977233886719,0.0
179.240478515625,-68.41969299316406,0.0
185.26461791992188,-49.0135383605957,0.0
187.24252319335938,-28.830888748168945,0.0
172.7691650390625,-14.706153869628906,0.0
